"forms","pronunciation","translation_ru","category"
"το αβγό","то авгО","яйцо","еда и напитки"
"η αγάπη","и агАпи","любовь","чувства и характер"
"αγαπημένος; αγαπημένη; αγαπημένο","агапимЭнос; агапимЭни; агапимЭно","любимый, дорогой","прилагательные"
"η αγγελία","и ангэлИа","объявление, реклама","служебные слова"
"ο άγιος; η αγία","о Айос; и айИа","святой","семья и люди"
"η αγκαλιά","и ангальЯ","объятие, обнимашки","чувства и характер"
"αγνός; αγνή; αγνό","агнОс; агнИ; агнО","чистый, непорочный","прилагательные"
"άγνωστος; άγνωστη; άγνωστο","Агностос; Агности; Агносто","неизвестный, незнакомый","прилагательные"
"ο άγνωστος; η άγνωστη","о Агностос; и Агности","незнакомец, незнакомка","семья и люди"
"άγριος; άγρια; άγριο","Агрьос; Агрья; Агрьо","дикий","прилагательные"
"το άγχος","то Анхос","стресс, тревога, беспокойство","чувства и характер"
"ο αγώνας","о агОнас","матч, состязание","досуг и спорт"
"η αγωνία","и агонИа","тревога, беспокойство","чувства и характер"
"ο αέρας","о аЭрас","ветер, воздух","погода и природа"
"έχει αέρα","Эхи аЭра","ветрено","погода и природа"
"το αεροπορικό ταξίδι","то аэропорикО таксИди","перелёт, путешествие на самолёте","транспорт и путешествия"
"το άθλημα","то Атлима","вид спорта","досуг и спорт"
"αθλητικός; αθλητική; αθλητικό","атлитикОс; атлитикИ; атлитикО","спортивный","прилагательные"
"τα αθλητικά γεγονότα","та атлитикА йэгонОта","спортивные события","досуг и спорт"
"οι αθλητικοί αγώνες","и атлитикИ агОнэс","спортивные соревнования","досуг и спорт"
"η αίθουσα","и Этуса","класс, аудитория (в школе)","учёба"
"η αίθουσα","и Этуса","зал (кино, конференций, мероприятий)","город и направления"
"αισθάνομαι","эстАномэ","чувствовать, ощущать","глаголы"
"αισθηματικός; αισθηματική; αισθηματικό","эстиматикОс; эстиматикИ; эстиматикО","эмоциональный, сентиментальный","прилагательные"
"η αίτηση","и Этиси","заявление, анкета","служебные слова"
"η αιτία","и этИа","причина","служебные слова"
"ακολουθώ","аколутО","следовать","глаголы"
"ακόμη","акОми","ещё больше (о количестве)","служебные слова"
"ακόμη","акОми","ещё, пока (о времени)","служебные слова"
"η άκρη","и Акри","край, конец","служебные слова"
"ακριβός; ακριβή; ακριβό","акривОс; акривИ; акривО","дорогой (по цене)","прилагательные"
"ακριβώς","акривОс","точно, ровно","служебные слова"
"στις 10 ακριβώς","стис 10 акривОс","ровно в 10 (часов)","время"
"η ακτή","и актИ","пляж, побережье","город и направления"
"το αλεύρι","то алЭври","мука","еда и напитки"
"η αλήθεια","и алИтья","правда","служебные слова"
"αλήθεια","алИтья","правда, действительно (наречие)","служебные слова"
"αληθινά","алитинА","действительно, по-настоящему","служебные слова"
"Αληθώς Ανέστη!","алитОс анЭсти!","Воистину воскрес! (пасхальный ответ)","приветствия"
"αλλιώς","альОс","иначе, по-другому","служебные слова"
"η αλλαγή","и алайИ","изменение, перемена","служебные слова"
"αλλάζω","алАзо","менять, изменять","глаголы"
"άλλος; άλλη; άλλο","Алос; Али; Ало","другой","прилагательные"
"αμέσως","амЭсос","сразу же, немедленно","служебные слова"
"το αμύγδαλο","то амИгдало","миндаль","еда и напитки"
"η ανάγκη","и анАнги","необходимость, нужда","служебные слова"
"ανακατεύω","анакатЭво","смешивать","глаголы"
"η ανακύκλωση","и анакИклоси","переработка отходов","служебные слова"
"η ανάληψη χρημάτων","и анАлипси хримАтон","снятие денег","покупки и деньги"
"ανάλογα","анАлога","в зависимости от","служебные слова"
"αναπαυτικά","анапафтикА","удобно, комфортно","служебные слова"
"η αναπνοή","и анапноИ","дыхание","тело и здоровье"
"ανατολικός; ανατολική; ανατολικό","анатоликОс; анатоликИ; анатоликО","восточный","прилагательные"
"το αναψυκτικό","то анапсиктикО","прохладительный напиток","еда и напитки"
"ανεβαίνει μια θεατρική παράσταση","анэвЭни мья тэатрикИ парАстаси","ставится спектакль","досуг и спорт"
"ο άνθρωπος","о Антропос","человек","семья и люди"
"ο ανιψιός","о анипсьОс","племянник","семья и люди"
"η ανιψιά","и анипсьЯ","племянница","семья и люди"
"ανακατεμένος; ανακατεμένη; ανακατεμένο","анакатэмЭнос; анакатэмЭни; анакатэмЭно","смешанный","прилагательные"
"η άνεση","и Анэси","комфорт, удобство","служебные слова"
"το αξεσουάρ","то аксэсуАр","аксессуар","одежда"
"το αξιοθέατο","то аксьотЭато","достопримечательность","город и направления"
"ανοιχτός; ανοιχτή; ανοιχτό","анихтОс; анихтИ; анихтО","открытый","прилагательные"
"αντίθετος; αντίθετη; αντίθετο","андИтэтос; андИтэти; андИтэто","противоположный","прилагательные"
"το αντικείμενο","то андикИмэно","предмет, вещь","служебные слова"
"αντρικός; αντρική; αντρικό","андрикОс; андрикИ; андрикО","мужской","прилагательные"
"απαραίτητος; απαραίτητη; απαραίτητο","апарЭтитос; апарЭтити; апарЭтито","необходимый, обязательный","прилагательные"
"απέναντι","апЭнанди","напротив, через дорогу","город и направления"
"απλός; απλή; απλό","аплОс; аплИ; аплО","простой","прилагательные"
"το απλό εισιτήριο","то аплО иситИрьо","билет в один конец","транспорт и путешествия"
"απλώνω","аплОно","расстилать, развешивать (бельё)","глаголы"
"από μέσα/έξω","апО мЭса/Эксо","изнутри/снаружи","служебные слова"
"από τότε","апО тОтэ","с тех пор","служебные слова"
"απογευματινός; απογευματινή; απογευματινό","апойэвматинОс; апойэвматинИ; апойэвматинО","дневной, вечерний (после полудня)","прилагательные"
"η αποθήκη","и апотИки","кладовка, склад","дом"
"αποκτώ","апоктО","приобретать, получать","глаголы"
"οι Απόκριες","и апОкрьэс","греческий карнавал (масленица)","время"
"το αποτέλεσμα","то апотЭлэсма","результат","служебные слова"
"η απόφαση","и апОфаси","решение","служебные слова"
"αποφασίζω","апофасИзо","решать, принимать решение","глаголы"
"το απορρυπαντικό","то апорипандикО","моющее средство","дом"
"αργώ","аргО","опаздывать","глаголы"
"μου αρέσει","му арЭси","мне нравится","глаголы"
"το άρθρο","то Артро","статья; артикль","учёба"
"ο αριθμός","о аритмОс","номер, число","числа"
"αρκετός; αρκετή; αρκετό","аркэтОс; аркэтИ; аркэтО","достаточный","прилагательные"
"αρνητικά","арнитикА","отрицательно","служебные слова"
"το αρνί","то арнИ","ягнёнок, баранина","еда и напитки"
"τα αρχαία ελληνικά","та архЭа элиникА","древнегреческий язык (школьный предмет)","учёба"
"η αρχαιότητα","и архэОтита","древность, античность","учёба"
"η αρχή","и архИ","начало","служебные слова"
"ο αρχιτέκτονας; η αρχιτέκτονας","о архитЭктонас; и архитЭктонас","архитектор","работа и профессии"
"αρχίζω","архИзо","начинать","глаголы"
"το ασανσέρ","то асансЭр","лифт","дом"
"ο ασθενής άνεμος","о астэнИс Анэмос","слабый ветер","погода и природа"
"η άσκηση","и Аскиси","упражнение, задание","учёба"
"άσπρος; άσπρη; άσπρο","Аспрос; Аспри; Аспро","белый","цвета"
"αστείος; αστεία; αστείο","астИос; астИа; астИо","смешной, забавный","прилагательные"
"αστράφτω","астрАфто","сверкать, блестеть","глаголы"
"αστράφτει","астрАфти","сверкает молния","погода и природа"
"η αστυνομία","и астиномИа","полиция","работа и профессии"
"η ασφάλεια","и асфАлья","безопасность, страховка","служебные слова"
"άσχημα","Асхима","плохо","служебные слова"
"ΑΤΜ (Αυτόματο Μηχάνημα Ανάληψης Μετρητών)","эй ти эм","банкомат","покупки и деньги"
"το άτομο","то Атомо","человек, личность","семья и люди"
"η ατυχία","и атихИа","неудача, невезение","служебные слова"
"η αυλή","и авлИ","двор","дом"
"το αφεντικό","то афэндикО","начальник, босс","работа и профессии"
"η αφετηρία","и афэтирИа","начало, отправная точка","служебные слова"
"η αφετηρία λεωφορείου","и афэтирИа лэофорИу","начальная остановка автобуса","транспорт и путешествия"
"αφήνω","афИно","оставлять, отпускать","глаголы"
"η αφίσα","и афИса","афиша, постер","досуг и спорт"
"ας","ас","давай(те) (побудительная частица)","служебные слова"
"βάζω βάρος","вАзо вАрос","набирать вес","тело и здоровье"
"ο βαθμός","о ватмОс","оценка, степень","учёба"
"η βαλίτσα","и валИца","чемодан","транспорт и путешествия"
"το βαμβάκι","то вамвАки","хлопок","одежда"
"η βάση","и вАси","основа, база","служебные слова"
"βασικός; βασική; βασικό","васикОс; васикИ; васикО","основной, базовый","прилагательные"
"ο βασιλικός","о василикОс","базилик","еда и напитки"
"βάφω","вАфо","красить","глаголы"
"η βάφτιση","и вАфтиси","крещение","семья и люди"
