"before","after","correct_answer","verb_lemma","translation_ru","pronunciation_ru"
"Εγώ "," δάσκαλος.","είμαι","είμαι","Я учитель.","эгО Имэ дАскалос."
"Εγώ "," από τη Ρωσία.","είμαι","είμαι","Я из России.","эгО Имэ апО ти росИа."
"Εγώ "," χαρούμενος σήμερα.","είμαι","είμαι","Я счастлив сегодня.","эгО Имэ харУмэнос сИмэра."
"Εσύ "," πολύ έξυπνος.","είσαι","είμαι","Ты очень умный.","эсИ Исэ полИ Эксипнос."
"Εσύ "," φοιτητής;","είσαι","είμαι","Ты студент?","эсИ Исэ фититИс;"
"Εσύ "," κουρασμένος;","είσαι","είμαι","Ты устал?","эсИ Исэ курасмЭнос;"
"Ο Νίκος "," γιατρός.","είναι","είμαι","Никос врач.","о нИкос Инэ йатрОс."
"Η Μαρία "," όμορφη.","είναι","είμαι","Мария красивая.","и марИа Инэ Оморфи."
"Το σπίτι μας "," μεγάλο.","είναι","είμαι","Наш дом большой.","то спИти мас Инэ мэгАло."
"Εμείς "," φίλοι από το σχολείο.","είμαστε","είμαι","Мы друзья со школы.","эмИс Имастэ фИли апО то схолИо."
"Εμείς "," έτοιμοι.","είμαστε","είμαι","Мы готовы.","эмИс Имастэ Этими."
"Εμείς "," στην Αθήνα τώρα.","είμαστε","είμαι","Мы сейчас в Афинах.","эмИс Имастэ стин атИна тОра."
"Εσείς "," πολύ ευγενικοί.","είστε","είμαι","Вы очень вежливые.","эсИс Истэ полИ эвйеникИ."
"Εσείς "," από την Ελλάδα;","είστε","είμαι","Вы из Греции?","эсИс Истэ апО тин элАда;"
"Οι φίλοι μου "," στο πάρτι.","είναι","είμαι","Мои друзья на вечеринке.","и фИли му Инэ сто пАрти."
"Τα παιδιά "," κουρασμένα.","είναι","είμαι","Дети устали.","та пэдьЯ Инэ курасмЭна."
"Αυτός "," ο αδελφός μου.","είναι","είμαι","Он мой брат.","афтОс Инэ о адэлфОс му."
"Αυτή "," η δασκάλα μας.","είναι","είμαι","Она наша учительница.","афтИ Инэ и даскАла мас."
