"forms","pronunciation","translation_ru","category"
"καλημέρα","калимЭра","доброе утро / здравствуйте (утром)","приветствия"
"καλησπέρα","калиспЭра","добрый вечер","приветствия"
"καληνύχτα","калинИхта","спокойной ночи","приветствия"
"γεια σου","я су","привет (обращение на «ты»)","приветствия"
"γεια σας","я сас","здравствуйте (обращение на «вы»)","приветствия"
"αντίο","андИо","до свидания","приветствия"
"τα λέμε","та лЭмэ","увидимся","приветствия"
"ευχαριστώ","эфхаристО","спасибо","приветствия"
"ευχαριστώ πολύ","эфхаристО полИ","большое спасибо","приветствия"
"παρακαλώ","паракалО","пожалуйста","приветствия"
"συγγνώμη","сигнОми","извините","приветствия"
"με συγχωρείτε","мэ синхорИтэ","прошу прощения","приветствия"
"ναι","нЭ","да","приветствия"
"όχι","Охи","нет","приветствия"
"εντάξει","эндАкси","хорошо, договорились","приветствия"
"ίσως","Исос","возможно","приветствия"
"πώς σε λένε;","пос сэ лЭнэ","как тебя зовут?","приветствия"
"με λένε","мэ лЭнэ","меня зовут","приветствия"
"τι κάνεις;","ти кАнис","как дела? (ты)","приветствия"
"τι κάνετε;","ти кАнэтэ","как дела? (вы)","приветствия"
"καλά","калА","хорошо","приветствия"
"έτσι κι έτσι","Эци ки Эци","так себе","приветствия"
"χάρηκα","хАрика","приятно познакомиться","приветствия"
"καλώς ήρθες","калОс Иртэс","добро пожаловать (ты)","приветствия"
"καλώς ήρθατε","калОс Иртатэ","добро пожаловать (вы)","приветствия"
"καλή όρεξη","калИ Орэкси","приятного аппетита","приветствия"
"χρόνια πολλά","хрОня полА","с днём рождения / с праздником","приветствия"
"καλό ταξίδι","калО таксИди","счастливого пути","приветствия"
"μπορείτε να...;","борИтэ на","не могли бы вы...?","приветствия"
"εγώ","эгО","я","местоимения и вопросы"
"εσύ","эсИ","ты","местоимения и вопросы"
"αυτός","афтОс","он","местоимения и вопросы"
"αυτή","афтИ","она","местоимения и вопросы"
"αυτό","афтО","оно","местоимения и вопросы"
"εμείς","эмИс","мы","местоимения и вопросы"
"εσείς","эсИс","вы","местоимения и вопросы"
"αυτοί","афтИ","они (м.р.)","местоимения и вопросы"
"αυτές","афтЭс","они (ж.р.)","местоимения и вопросы"
"αυτά","афтА","они (ср.р.)","местоимения и вопросы"
"μου","му","мой / моя / моё","местоимения и вопросы"
"σου","су","твой / твоя / твоё","местоимения и вопросы"
"του","ту","его","местоимения и вопросы"
"της","тис","её","местоимения и вопросы"
"μας","мас","наш","местоимения и вопросы"
"σας","сас","ваш","местоимения и вопросы"
"τους","тус","их","местоимения и вопросы"
"ποιος; ποια; ποιο;","пьос, пьа, пьо","кто? какой?","местоимения и вопросы"
"τι;","ти","что?","местоимения и вопросы"
"πού;","пУ","где?","местоимения и вопросы"
"πότε;","пОтэ","когда?","местоимения и вопросы"
"πώς;","пОс","как?","местоимения и вопросы"
"γιατί;","ятИ","почему?","местоимения и вопросы"
"πόσο;","пОсо","сколько?","местоимения и вопросы"
"πόσοι; πόσα;","пОси, пОса","сколько (штук)?","местоимения и вопросы"
"ποιον;","пьон","кого?","местоимения и вопросы"
"κάτι","кАти","что-то, кое-что","местоимения и вопросы"
"κανείς / κανένας","канИс / канЭнас","никто / кто-нибудь","местоимения и вопросы"
"τίποτα","тИпота","ничего","местоимения и вопросы"
"κάποιος","кАпьос","кто-то, некто","местоимения и вопросы"
"όλοι","Оли","все","местоимения и вопросы"
"κάθε","кАтэ","каждый","местоимения и вопросы"
"αυτός εδώ","афтОс эдО","этот","местоимения и вопросы"
"εκείνος","экИнос","тот","местоимения и вопросы"
"ο ίδιος","о Идьос","тот же самый","местоимения и вопросы"
"ένα","Эна","один / одна / одно (1)","числа"
"δύο","дИо","два (2)","числа"
"τρία","трИа","три (3)","числа"
"τέσσερα","тЭсэра","четыре (4)","числа"
"πέντε","пЭндэ","пять (5)","числа"
"έξι","Экси","шесть (6)","числа"
"επτά / εφτά","эптА / эфтА","семь (7)","числа"
"οκτώ / οχτώ","октО / охтО","восемь (8)","числа"
"εννέα / εννιά","энЭа / эньЯ","девять (9)","числа"
"δέκα","дЭка","десять (10)","числа"
"έντεκα","Эндэка","одиннадцать (11)","числа"
"δώδεκα","дОдэка","двенадцать (12)","числа"
"δεκατρία","дэкатрИа","тринадцать (13)","числа"
"δεκατέσσερα","дэкатЭсэра","четырнадцать (14)","числа"
"δεκαπέντε","дэкапЭндэ","пятнадцать (15)","числа"
"δεκαέξι","дэкаЭкси","шестнадцать (16)","числа"
"δεκαεπτά","дэкаэптА","семнадцать (17)","числа"
"δεκαοκτώ","дэкаоктО","восемнадцать (18)","числа"
"δεκαεννέα","дэкаэнЭа","девятнадцать (19)","числа"
"είκοσι","Икоси","двадцать (20)","числа"
"τριάντα","трьЯнда","тридцать (30)","числа"
"σαράντα","сарАнда","сорок (40)","числа"
"πενήντα","пэнИнда","пятьдесят (50)","числа"
"εξήντα","эксИнда","шестьдесят (60)","числа"
"εβδομήντα","эвдомИнда","семьдесят (70)","числа"
"ογδόντα","огдОнда","восемьдесят (80)","числа"
"ενενήντα","энэнИнда","девяносто (90)","числа"
"εκατό","экатО","сто (100)","числа"
"διακόσια","дьакОсья","двести (200)","числа"
"χίλια","хИлья","тысяча (1000)","числа"
"εκατομμύριο","экатомИрьо","миллион","числа"
"μηδέν","мидЭн","ноль (0)","числа"
"πρώτος","прОтос","первый","числа"
"δεύτερος","дЭфтэрос","второй","числа"
"τρίτος","трИтос","третий","числа"
"τέταρτος","тЭтартос","четвёртый","числа"
"πέμπτος","пЭмбтос","пятый","числа"
"τελευταίος","тэлэфтЭос","последний","числа"
"η ώρα","и Ора","час, время","время"
"το λεπτό","то лэптО","минута","время"
"σήμερα","сИмэра","сегодня","время"
"χθες","хтЭс","вчера","время"
"αύριο","Афрьо","завтра","время"
"τώρα","тОра","сейчас","время"
"μετά","мэтА","потом, после","время"
"πριν","прин","до, раньше","время"
"νωρίς","норИс","рано","время"
"αργά","аргА","поздно","время"
"πάντα","пАнда","всегда","время"
"ποτέ","потЭ","никогда","время"
"μερικές φορές","мэрикЭс форЭс","иногда","время"
"συχνά","сихнА","часто","время"
"η Δευτέρα","и дэфтЭра","понедельник","время"
"η Τρίτη","и трИти","вторник","время"
"η Τετάρτη","и тэтАрти","среда","время"
"η Πέμπτη","и пЭмбти","четверг","время"
"η Παρασκευή","и параскэвИ","пятница","время"
"το Σάββατο","то сАвато","суббота","время"
"η Κυριακή","и кирьякИ","воскресенье","время"
"ο Ιανουάριος","о ианоуАрьос","январь","время"
"ο Φεβρουάριος","о фэвроуАрьос","февраль","время"
"ο Μάρτιος","о мАртьос","март","время"
"ο Απρίλιος","о апрИльос","апрель","время"
"ο Μάιος","о мАйос","май","время"
"ο Ιούνιος","о иУньос","июнь","время"
